Set Number,Name,Year,Theme ID,Parts,Status,Image URL,Set URL
75370-1,Stormtrooper Mech,2023,158,138,SETS_USED,https://cdn.rebrickable.com/media/sets/75370-1/122701.jpg,https://rebrickable.com/sets/75370-1/stormtrooper-mech/
75373-1,Ambush on Mandalore Battle Pack,2024,158,110,SETS_USED,https://cdn.rebrickable.com/media/sets/75373-1/140393.jpg,https://rebrickable.com/sets/75373-1/ambush-on-mandalore-battle-pack/
75375-1,Millennium Falcon,2024,158,921,SETS_USED,https://cdn.rebrickable.com/media/sets/75375-1/136884.jpg,https://rebrickable.com/sets/75375-1/millennium-falcon/
75375-1,Millennium Falcon,2024,158,921,SETS_SEALED,https://cdn.rebrickable.com/media/sets/75375-1/136884.jpg,https://rebrickable.com/sets/75375-1/millennium-falcon/
75376-1,Tantive IV,2024,158,654,SETS_USED,https://cdn.rebrickable.com/media/sets/75376-1/136889.jpg,https://rebrickable.com/sets/75376-1/tantive-iv/
75378-1,BARC Speeder Escape,2024,158,221,SETS_SEALED,https://cdn.rebrickable.com/media/sets/75378-1/139017.jpg,https://rebrickable.com/sets/75378-1/barc-speeder-escape/
75379-1,R2-D2,2024,158,1050,SETS_USED,https://cdn.rebrickable.com/media/sets/75379-1/136905.jpg,https://rebrickable.com/sets/75379-1/r2-d2/
75380-1,Mos Espa Podrace,2024,158,719,SETS_USED,https://cdn.rebrickable.com/media/sets/75380-1/139282.jpg,https://rebrickable.com/sets/75380-1/mos-espa-podrace/
75381-1,Droideka,2024,158,583,SETS_USED,https://cdn.rebrickable.com/media/sets/75381-1/139292.jpg,https://rebrickable.com/sets/75381-1/droideka/
75383-1,Darth Maul's Sith Infiltrator,2024,158,640,SETS_USED,https://cdn.rebrickable.com/media/sets/75383-1/138972.jpg,https://rebrickable.com/sets/75383-1/darth-mauls-sith-infiltrator/
75385-1,Ahsoka Tano's Duel on Peridea,2024,158,382,SETS_USED,https://cdn.rebrickable.com/media/sets/75385-1/142246.jpg,https://rebrickable.com/sets/75385-1/ahsoka-tanos-duel-on-peridea/
75388-1,Jedi Bob's Starfighter,2024,158,305,SETS_USED,https://cdn.rebrickable.com/media/sets/75388-1/143181.jpg,https://rebrickable.com/sets/75388-1/jedi-bobs-starfighter/
75389-1,The Dark Falcon,2024,158,1579,SETS_USED,https://cdn.rebrickable.com/media/sets/75389-1/142054.jpg,https://rebrickable.com/sets/75389-1/the-dark-falcon/
75391-1,Captain Rex Y-Wing Microfighter,2024,158,99,SETS_USED,https://cdn.rebrickable.com/media/sets/75391-1/140108.jpg,https://rebrickable.com/sets/75391-1/captain-rex-y-wing-microfighter/
75394-1,Imperial Star Destroyer,2024,158,1555,SETS_USED,https://cdn.rebrickable.com/media/sets/75394-1/140420.jpg,https://rebrickable.com/sets/75394-1/imperial-star-destroyer/
75395-1,Star Wars Advent Calendar 2024,2024,209,368,SETS_USED,https://cdn.rebrickable.com/media/sets/75395-1/140111.jpg,https://rebrickable.com/sets/75395-1/star-wars-advent-calendar-2024/
75398-1,C-3PO,2024,158,1140,SETS_USED,https://cdn.rebrickable.com/media/sets/75398-1/142250.jpg,https://rebrickable.com/sets/75398-1/c-3po/
75878-1,Bugatti Chiron,2017,601,188,SETS_USED,https://cdn.rebrickable.com/media/sets/75878-1/11973.jpg,https://rebrickable.com/sets/75878-1/bugatti-chiron/
75880-1,McLaren 720S,2017,601,168,SETS_USED,https://cdn.rebrickable.com/media/sets/75880-1/15777.jpg,https://rebrickable.com/sets/75880-1/mclaren-720s/
75886-1,"Ferrari 488 GT3 ""Scuderia Corsa""",2018,601,186,SETS_USED,https://cdn.rebrickable.com/media/sets/75886-1/15008.jpg,https://rebrickable.com/sets/75886-1/ferrari-488-gt3-scuderia-corsa/
75887-1,Porsche 919 Hybrid,2018,601,170,SETS_USED,https://cdn.rebrickable.com/media/sets/75887-1/635.jpg,https://rebrickable.com/sets/75887-1/porsche-919-hybrid/
75890-1,Ferrari F40 Competizione,2019,601,200,SETS_USED,https://cdn.rebrickable.com/media/sets/75890-1/11004.jpg,https://rebrickable.com/sets/75890-1/ferrari-f40-competizione/
75892-1,McLaren Senna,2019,601,222,SETS_USED,https://cdn.rebrickable.com/media/sets/75892-1/16257.jpg,https://rebrickable.com/sets/75892-1/mclaren-senna/
76191-1,Infinity Gauntlet,2021,702,590,SETS_USED,https://cdn.rebrickable.com/media/sets/76191-1/88377.jpg,https://rebrickable.com/sets/76191-1/infinity-gauntlet/
76241-1,Hulk Mech Armor,2023,702,138,SETS_USED,https://cdn.rebrickable.com/media/sets/76241-1/130148.jpg,https://rebrickable.com/sets/76241-1/hulk-mech-armor/
76263-1,Iron Man Hulkbuster vs. Thanos,2023,702,66,SETS_USED,https://cdn.rebrickable.com/media/sets/76263-1/123079.jpg,https://rebrickable.com/sets/76263-1/iron-man-hulkbuster-vs-thanos/
76275-1,Motorcycle Chase: Spider-Man vs. Doc Ock,2024,706,77,SETS_USED,https://cdn.rebrickable.com/media/sets/76275-1/134472.jpg,https://rebrickable.com/sets/76275-1/motorcycle-chase-spider-man-vs-doc-ock/
76275-1,Motorcycle Chase: Spider-Man vs. Doc Ock,2024,706,77,SETS_SEALED,https://cdn.rebrickable.com/media/sets/76275-1/134472.jpg,https://rebrickable.com/sets/76275-1/motorcycle-chase-spider-man-vs-doc-ock/
76275-1,Motorcycle Chase: Spider-Man vs. Doc Ock,2024,706,77,SETS_SEALED,https://cdn.rebrickable.com/media/sets/76275-1/134472.jpg,https://rebrickable.com/sets/76275-1/motorcycle-chase-spider-man-vs-doc-ock/
76278-1,Rocket's Warbird vs. Ronan,2024,702,290,SETS_USED,https://cdn.rebrickable.com/media/sets/76278-1/134549.jpg,https://rebrickable.com/sets/76278-1/rockets-warbird-vs-ronan/
76289-1,Thor vs. Surtur Construction Figure,2024,696,245,SETS_USED,https://cdn.rebrickable.com/media/sets/76289-1/140463.jpg,https://rebrickable.com/sets/76289-1/thor-vs-surtur-construction-figure/
76293-1,Spider-Man Advent Calendar 2024,2024,751,255,SETS_SEALED,https://cdn.rebrickable.com/media/sets/76293-1/140082.jpg,https://rebrickable.com/sets/76293-1/spider-man-advent-calendar-2024/
76303-1,Batman Tumbler vs. Two-Face & The Joker,2025,697,429,SETS_SEALED,https://cdn.rebrickable.com/media/sets/76303-1/148886.jpg,https://rebrickable.com/sets/76303-1/batman-tumbler-vs-two-face-the-joker/
76307-1,Iron Man Mech vs. Ultron,2025,696,101,SETS_USED,https://cdn.rebrickable.com/media/sets/76307-1/148871.jpg,https://rebrickable.com/sets/76307-1/iron-man-mech-vs-ultron/
76307-1,Iron Man Mech vs. Ultron,2025,696,101,SETS_SEALED,https://cdn.rebrickable.com/media/sets/76307-1/148871.jpg,https://rebrickable.com/sets/76307-1/iron-man-mech-vs-ultron/
76421-1,Dobby the House-Elf,2023,246,403,SETS_SEALED,https://cdn.rebrickable.com/media/sets/76421-1/122506.jpg,https://rebrickable.com/sets/76421-1/dobby-the-house-elf/
76424-1,Flying Ford Anglia,2024,246,165,SETS_USED,https://cdn.rebrickable.com/media/sets/76424-1/132989.jpg,https://rebrickable.com/sets/76424-1/flying-ford-anglia/
76425-1,Hedwig at 4 Privet Drive,2024,246,337,SETS_SEALED,https://cdn.rebrickable.com/media/sets/76425-1/132998.jpg,https://rebrickable.com/sets/76425-1/hedwig-at-4-privet-drive/
76831-1,Zurg Battle,2022,608,261,SETS_USED,https://cdn.rebrickable.com/media/sets/76831-1/100273.jpg,https://rebrickable.com/sets/76831-1/zurg-battle/
76907-1,Lotus Evija,2022,601,250,SETS_SEALED,https://cdn.rebrickable.com/media/sets/76907-1/97890.jpg,https://rebrickable.com/sets/76907-1/lotus-evija/
76908-1,Lamborghini Countach,2022,601,262,SETS_USED,https://cdn.rebrickable.com/media/sets/76908-1/97861.jpg,https://rebrickable.com/sets/76908-1/lamborghini-countach/
76908-1,Lamborghini Countach,2022,601,262,SETS_SEALED,https://cdn.rebrickable.com/media/sets/76908-1/97861.jpg,https://rebrickable.com/sets/76908-1/lamborghini-countach/
76915-1,Pagani Utopia,2023,601,252,SETS_USED,https://cdn.rebrickable.com/media/sets/76915-1/129897.jpg,https://rebrickable.com/sets/76915-1/pagani-utopia/
76918-1,McLaren Solus GT & McLaren F1 LM,2023,601,587,SETS_USED,https://cdn.rebrickable.com/media/sets/76918-1/129906.jpg,https://rebrickable.com/sets/76918-1/mclaren-solus-gt-mclaren-f1-lm/
76934-1,Ferrari F40 Supercar,2024,601,325,SETS_SEALED,https://cdn.rebrickable.com/media/sets/76934-1/142487.jpg,https://rebrickable.com/sets/76934-1/ferrari-f40-supercar/
76944-1,T. rex Dinosaur Breakout,2022,602,140,SETS_SEALED,https://cdn.rebrickable.com/media/sets/76944-1/98839.jpg,https://rebrickable.com/sets/76944-1/t-rex-dinosaur-breakout/
76958-1,Dilophosaurus Ambush,2023,602,211,SETS_USED,https://cdn.rebrickable.com/media/sets/76958-1/129866.jpg,https://rebrickable.com/sets/76958-1/dilophosaurus-ambush/
911724-1,A-Wing,2017,158,47,SETS_SEALED,https://cdn.rebrickable.com/media/sets/911724-1/13284.jpg,https://rebrickable.com/sets/911724-1/a-wing/
911943-1,Luke Skywalker,2019,158,6,SETS_SEALED,https://cdn.rebrickable.com/media/sets/911943-1/10192.jpg,https://rebrickable.com/sets/911943-1/luke-skywalker/
912175-1,AT-ST Raider,2021,158,53,SETS_SEALED,https://cdn.rebrickable.com/media/sets/912175-1/134426.jpg,https://rebrickable.com/sets/912175-1/at-st-raider/
912310-1,C-3PO and Gonk Droid,2023,158,16,SETS_SEALED,https://cdn.rebrickable.com/media/sets/912310-1/134450.jpg,https://rebrickable.com/sets/912310-1/c-3po-and-gonk-droid/
912411-1,T-6 Jedi Shuttle,2024,158,39,SETS_SEALED,https://cdn.rebrickable.com/media/sets/912411-1/146533.jpg,https://rebrickable.com/sets/912411-1/t-6-jedi-shuttle/
952310-1,Wheel Loader,2023,56,21,SETS_SEALED,https://cdn.rebrickable.com/media/sets/952310-1/134615.jpg,https://rebrickable.com/sets/952310-1/wheel-loader/
